Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Order_DayOfWeek,Order_Month,Order_to_Pickup_Minutes
37,4.9,Sunny,High ,motorcycle ,Urban ,120,Clothing,3.0251492856775037,11,5,3,15.0
34,4.5,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,20.183529728733618,19,4,3,5.0
23,4.4,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,1.5527578022548725,8,5,3,15.0
38,4.7,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,7.790401360105752,18,1,4,10.0
32,4.6,Cloudy,High ,scooter ,Metropolitian ,150,Toys,6.2101379656240985,13,5,3,15.0
22,4.8,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,4.610365144357058,21,4,3,10.0
33,4.7,Fog,Jam ,scooter ,Metropolitian ,200,Toys,16.600361127912656,19,4,3,15.0
35,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,20.20525323529291,17,0,3,5.0
22,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,19.975520086221444,20,6,3,10.0
36,4.2,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,10.280582064621875,21,5,2,15.0
21,4.7,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,6.242318682701243,14,6,2,10.0
23,4.7,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,13.787860239172547,17,4,3,10.0
34,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,2.9302578007621216,9,6,2,10.0
24,4.7,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,19.39661829066159,19,0,2,15.0
29,4.5,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,13.763977224427641,20,5,4,10.0
35,4.0,Windy,High ,scooter ,Metropolitian ,33,Grocery,6.21800119018663,14,1,3,15.0
33,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,16.849939918016492,20,2,3,10.0
34,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,10.757108800258132,20,6,3,10.0
21,4.7,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,4.5405743887312955,21,1,2,15.0
25,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,12.256076445468295,20,2,3,5.0
31,4.7,Sandstorms,Low ,van,Metropolitian ,130,Books,19.618739348801018,22,3,3,15.0
37,5.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,1.5581322655568652,8,4,3,15.0
33,4.3,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,20.180635114114718,19,6,3,15.0
25,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,6.116971669682334,12,5,3,5.0
29,4.5,Sunny,Medium ,van,Metropolitian ,75,Outdoors,17.07559440107296,18,6,3,15.0
27,5.0,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,4.470286489434607,20,1,4,5.0
35,4.3,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,13.68204452608078,23,5,3,10.0
32,4.0,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,13.973182653917394,21,2,3,15.0
23,4.8,Windy,Low ,van,Urban ,60,Jewelry,16.85361872985359,23,5,4,10.0
31,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,4.674172124263269,22,4,4,15.0
36,4.1,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,7.60161677107109,22,5,3,5.0
26,4.3,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,7.720324413179964,23,4,2,10.0
38,4.9,Cloudy,High ,scooter ,Urban ,125,Shoes,6.1756362610169315,13,4,2,5.0
32,4.6,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,19.914686965545187,22,5,4,10.0
33,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,10.724517748046026,18,1,3,15.0
20,4.7,Windy,High ,scooter ,Urban ,50,Toys,6.127835452844326,14,6,4,10.0
